lat,lon,sum_fpp
-78,-48,0
-78,-42,0.067624403
-78,-36,0
-76,-60,0
-76,-54,0
-76,-48,0.002366052
-76,-42,0.020394056
-76,-36,0
-76,-30,0
-76,-24,0.05052135
-74,-24,2.85379553
-72,-168,0.013545211
-72,-144,0
-72,-120,0.002465076
-72,-84,0.052833947
-72,-78,0.045819916
-72,-18,0.449584106
-72,-12,0.838605035
-72,174,0
-70,-156,0.256545789
-70,-150,0
-70,-144,0.021575768
-70,-138,0.083787168
-70,-132,0.690233966
-70,-126,0.253877407
-70,-120,0.007852665
-70,-102,6.173536154
-70,-96,0.04762425
-70,-90,0.109517987
-70,-78,1.259914284
-70,-72,0.20063685
-70,-12,7.463128555
-70,-6,0.554342209
-70,0,1.233966183
-70,6,6.505932583
-68,-174,0
-68,-168,0.278934777
-68,-162,0.128743038
-68,-156,0.006015987
-68,-150,0
-68,-144,0
-68,-138,0.003583255
-68,-132,0.006065273
-68,-126,0
-68,-120,0.029587842
-68,-114,0.016105586
-68,-108,0.004345649
-68,-102,0
-68,-96,0.004116931
-68,-90,1.144524393
-68,-84,0.407795351
-68,-78,6.030532707
-68,-72,3.055750158
-68,-42,0.01837371
-68,-24,1.396414687
-68,-18,0.024320388
-68,-12,0.017191999
-68,-6,0.446984703
-68,0,0.323184832
-68,6,0.148882215
-68,12,0.024391863
-68,18,0.319773715
-68,30,3.445666296
-68,36,1.30620904
-68,42,3.5211209
-68,48,30.78643952
-68,60,0.402168292
-68,66,0.658151355
-68,72,0.870750124
-68,78,1.735594222
-68,156,0.090763079
-68,162,1.841233826
-68,168,21.0542135
-68,174,3.296213126
-66,-168,0.008157622
-66,-162,3.475757058
-66,-156,0
-66,-150,0.043761451
-66,-144,0
-66,-138,0.017439777
-66,-120,0
-66,-114,0.00426941
-66,-108,0
-66,-96,0
-66,-90,0
-66,-84,0.007433348
-66,-78,0
-66,-72,0.659858406
-66,-66,5.267124858
-66,-48,15.08790383
-66,-42,0.007204629
-66,-30,0.79601622
-66,-24,0.921696972
-66,-12,0.03489226
-66,-6,0.150906484
-66,0,1.186906831
-66,6,0
-66,12,4.372571376
-66,18,0.398770504
-66,30,0
-66,36,2.185887019
-66,42,4.80641983
-66,48,0.860255113
-66,54,0.329297295
-66,60,0.365639693
-66,66,0.553293492
-66,72,0.743678918
